latitude,longitude,date,species,url,image_url,reference,n,location,depth,gear,temp,traps,id,notes,source,sex,source_id,previous_species,aquarium_inp,obs_type,id_correct,misid_reason,reviewer,is_sequenced,tax_type,genbank_accession
22.8,121.1833,9/1/90,Bathynomus doederleini,https://brill.com/view/journals/cr/61/2/article-p141_3.xml,,Tso&Mok1991,173,"Tungkang, Taiwan",200,Traps,,Fish,589,,literature,,,,FALSE,,,,,,,
22.02,-91.15,9/12/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136439,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,461.5,,,,590,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-2913 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,2913,,,,,,,FALSE,,
22.02,-91.15,9/12/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136460,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,461.5,,,,591,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-2914 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,2914,,,,,,,FALSE,,
-31.27,114.837,2/9/91,Bathynomus sp.,https://www.gbif.org/occurrence/1272730642,,Dataset: SS0191,1,60 km W of Seabird Point,613.5,,,,745,"orig_scientificName: Bathynomus A.Milne-Edwards, 1879 | basisOfRecord: PRESERVED_SPECIMEN | institutionCode: NMV | collectionCode: Invertebrates | catalogNumber: J36250 | recordNumber:  | recordedBy:  | identifiedBy: Dr Gary C. Poore - Museum Victoria | locality: 60 km W of Seabird Point | waterBody:  | country: Australia",GBIF,,b4aa3b4c-90ff-46f4-b8ac-bc6f849466fc,,,,,,JJ,FALSE,,
25.18906,-77.11405,11/17/22,Bathynomus giganteus,,,,1,,749,traps,9.96,Eel,1687,,BTW expedition,,,,FALSE,,,,,,,
22.02,-91.15,9/12/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136465,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,461.5,,,,592,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-2934 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,2934,,,,,,,FALSE,,
22.02,-91.15,9/12/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136468,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,461.5,,,,593,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-2921 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,2921,,,,,,,FALSE,,
22.02,-91.15,9/12/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136469,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,461.5,,,,594,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-2925 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,2925,,,,,,,FALSE,,
22.02,-91.15,9/12/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136471,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,461.5,,,,595,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-2915 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,2915,,,,,,,FALSE,,
16.19761,-61.5398,,Bathynomus giganteus,https://www.gbif.org/occurrence/4547920189,,,1,Guadeloupe,,,,,2076,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode:  | collectionCode:  | catalogNumber:  | recordNumber:  | recordedBy:  | identifiedBy:  | locality:  | waterBody:  | country: Guadeloupe",GBIF,,89de427b-574f-46a9-a3e8-19f2bd83e04a,,,,,,,FALSE,,
22.02,-91.15,9/12/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136474,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,461.5,,,,596,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-2933 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,2933,,,,,,,FALSE,,
22.02,-91.15,9/12/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136475,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,461.5,,,,597,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-2918 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,2918,,,,,,,FALSE,,
22.02,-91.15,9/12/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136476,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,461.5,,,,598,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-2932 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,2932,,,,,,,FALSE,,
22.02,-91.15,9/12/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136477,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,461.5,,,,599,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-2922 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,2922,,,,,,,FALSE,,
22.02,-91.15,9/12/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136479,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,461.5,,,,600,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-2931 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,2931,,,,,,,FALSE,,
22.02,-91.15,9/12/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136482,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,461.5,,,,601,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-2936 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,2936,,,,,,,FALSE,,
