"latitude","longitude","date","species","url","reference","n","location","depth","notes","source"
23.276667,-97.043333,1972-07-12,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574150","Dataset: NA",1,"SW Gulf of Mexico",1043,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6510","GBIF"
27.778333,-94.791667,1972-07-16,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574930","Dataset: NA",1,"NW Gulf of Mexico",412,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-7344","GBIF"
27.778333,-94.791667,1972-07-16,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574951","Dataset: NA",1,"NW Gulf of Mexico",412,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-7343","GBIF"
-33.7,151.85834,1972-08-01,"Bathynomus kapala","https://www.gbif.org/occurrence/1100750091","Dataset: NA",1,"Australia",NA,"orig_name: Bathynomus kapala Griffin, 1975 | basis: PRESERVED_SPECIMEN | institution: AM | catalog: P.19389","GBIF"
-12.45,48.141666,1972-09-13,"Bathynomus crosnieri","https://www.gbif.org/occurrence/1019684680","Dataset: NA",1,"Madagascar",700,"orig_name: Bathynomus crosnieri Lowry & Dempsey, 2006 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6446","GBIF"
-12.45,48.141666,1972-09-13,"Bathynomus crosnieri","https://www.gbif.org/occurrence/1019684728","Dataset: NA",1,"Madagascar",700,"orig_name: Bathynomus crosnieri Lowry & Dempsey, 2006 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6449","GBIF"
-12.45,48.141666,1972-09-13,"Bathynomus crosnieri","https://www.gbif.org/occurrence/1019684786","Dataset: NA",1,"Madagascar",700,"orig_name: Bathynomus crosnieri Lowry & Dempsey, 2006 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6453","GBIF"
-12.45,48.141666,1972-09-13,"Bathynomus crosnieri","https://www.gbif.org/occurrence/1019684799","Dataset: NA",1,"Madagascar",700,"orig_name: Bathynomus crosnieri Lowry & Dempsey, 2006 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6454","GBIF"
-15.3,46.201668,1972-11-08,"","https://www.gbif.org/occurrence/1019684988","Dataset: NA",1,"Madagascar",495,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6383","GBIF"
-15.3,46.201668,1972-11-08,"","https://www.gbif.org/occurrence/1019685005","Dataset: NA",1,"Madagascar",495,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6384","GBIF"
-15.3,46.201668,1972-11-08,"","https://www.gbif.org/occurrence/1019685020","Dataset: NA",1,"Madagascar",495,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6385","GBIF"
-15.3,46.201668,1972-11-08,"","https://www.gbif.org/occurrence/1019685037","Dataset: NA",1,"Madagascar",495,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6386","GBIF"
-33.95,151.75,1972-11-06,"Bathynomus kapala","https://www.gbif.org/occurrence/1100750090","Dataset: NA",1,"Australia",NA,"orig_name: Bathynomus kapala Griffin, 1975 | basis: PRESERVED_SPECIMEN | institution: AM | catalog: P.19390","GBIF"
14.58333,-81.533333,1971-01-31,"Bathynomus giganteus","https://www.gbif.org/occurrence/1439136326","McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,"off Nicaragua",608,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Duke | catalog: SOG-2796 Bathynomus giganteus","GBIF"
14.58333,-81.533333,1971-01-31,"Bathynomus giganteus","https://www.gbif.org/occurrence/1439136356","McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,"off Nicaragua",608,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Duke | catalog: SOG-2795 Bathynomus giganteus","GBIF"
28.965017,-87.211207,1971-01-08,"Bathynomus giganteus","https://www.gbif.org/occurrence/4015907212","Dataset: American Museum of Natural History (AMNH) Crustacea Collection",1,"100 mi. south of Pensicola",350,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: AMNH | catalog: NA","GBIF"
14.583333,-81.533333,1971-01-31,"Bathynomus giganteus","https://www.gbif.org/occurrence/4104108998","Dataset: NA",2,"Nicaragua",NA,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: UM-RSMAS | catalog: 32.8353","GBIF"
14.583333,-81.533333,1971-01-31,"Bathynomus giganteus","https://www.gbif.org/occurrence/4104109001","Dataset: NA",5,"Nicaragua",NA,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: UM-RSMAS | catalog: 32.5640","GBIF"
14.583333,-81.533333,1971-01-31,"Bathynomus giganteus","https://www.gbif.org/occurrence/4104110199","Dataset: NA",1,"Nicaragua",NA,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: UM-RSMAS | catalog: 32.4358","GBIF"
-12.746667,48.176666,1971-03-05,"","https://www.gbif.org/occurrence/1019684596","Dataset: NA",1,"Madagascar",566.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6393","GBIF"
